#  This has 1 set of cytonuclear genotypic counts.
-l 1
#
#  This is a made up, multiallelic data set.
#
-b
# First locus
-C    mtDNA
-N    Mdh-2 locus
-a    5
-r    4
-c   15
#   Nuclear alleles 1 2 3 4 5
#   Mitochondrial types 1 2 3 4 
#-------------------------------------------------------------------
#-------------------------------------------------------------------
-H    11   12   13   14  15  22  23  24  25  33  34  35  44  45  55
#-------------------------------------------------------------------
-1     5   10    7    5   4   6   8   9   3   2   0  12  11  21   3
-2     3    6    0    3   0   0   4   3   2   7   7   2   3   9   2
-3     5   14    9    6   3   9   7   3   6   4   0   1   1   1   6
-4     2    1   10    7   2   4   8   5   8   3   0   2   4   2   4
#-------------------------------------------------------------------
-e
#
-q
Everything beyond the -q should be ignored.
Keys:  They should be in this order 
     l, [b, (C, N, a, r, c, H), 1, 2,..., p, e], q
Where (...) means any permutation of the elements contained therein and
      [...] means a pattern that can be repeated (but only 'l' times)
-l  number of sets of cytonuclear genotypes
# Comment line.  Actually, # is unneeded because only lines that
# begin with a '-' are processed.  Remember that all lines that begin with
# a '-' are processed.
-b  begin set of cytonuclear genotypes
-C  cytoplasmic locus name
-N  nuclear locus name
-a  number of nuclear alleles
-r  number of cytoplasmic types
-c  number of nuclear genotypes ( a*(a+1)/2 )
-H  header for the allele names at the nuclear locus
-123..  cytoplasmic type  (these can be M and m for the two type case.)
-p  print out data matrix
-e  end set of cytonuclear genotypes
-q  Quit reading in data.
